sample_name,flowcell,lane,BSF_name,data_source
Drop-seq_PT_0d,BSF_0284_HH5C7BBXX,2,LiveBulk_10x_PT_PT1_d0_10xTK076s1_S20789,bsf
Drop-seq_PT_0d,BSF_0284_HH5C7BBXX,2,LiveBulk_10x_PT_PT1_d0_10xTK076s1_S20790,bsf
Drop-seq_PT_0d,BSF_0284_HH5C7BBXX,2,LiveBulk_10x_PT_PT1_d0_10xTK076s1_S20791,bsf
Drop-seq_PT_0d,BSF_0284_HH5C7BBXX,2,LiveBulk_10x_PT_PT1_d0_10xTK076s1_S20792,bsf
Drop-seq_PT_120d,BSF_0284_HH5C7BBXX,2,LiveBulk_10x_PT_PT5_d120_10xTK076s3_S20797,bsf
Drop-seq_PT_120d,BSF_0284_HH5C7BBXX,2,LiveBulk_10x_PT_PT5_d120_10xTK076s3_S20798,bsf
Drop-seq_PT_120d,BSF_0284_HH5C7BBXX,2,LiveBulk_10x_PT_PT5_d120_10xTK076s3_S20799,bsf
Drop-seq_PT_120d,BSF_0284_HH5C7BBXX,2,LiveBulk_10x_PT_PT5_d120_10xTK076s3_S20800,bsf
Drop-seq_PT_280d,BSF_0284_HH5C7BBXX,2,LiveBulk_10x_PT_PT6_d280_10xTK075s1_S20785,bsf
Drop-seq_PT_280d,BSF_0284_HH5C7BBXX,2,LiveBulk_10x_PT_PT6_d280_10xTK075s1_S20786,bsf
Drop-seq_PT_280d,BSF_0284_HH5C7BBXX,2,LiveBulk_10x_PT_PT6_d280_10xTK075s1_S20787,bsf
Drop-seq_PT_280d,BSF_0284_HH5C7BBXX,2,LiveBulk_10x_PT_PT6_d280_10xTK075s1_S20788,bsf
Drop-seq_VZS_0d,BSF_0284_HH5C7BBXX,2,LiveBulk_10x_VZS_VZS1_d0_10xTK076s2_S20793,bsf
Drop-seq_VZS_0d,BSF_0284_HH5C7BBXX,2,LiveBulk_10x_VZS_VZS1_d0_10xTK076s2_S20794,bsf
Drop-seq_VZS_0d,BSF_0284_HH5C7BBXX,2,LiveBulk_10x_VZS_VZS1_d0_10xTK076s2_S20795,bsf
Drop-seq_VZS_0d,BSF_0284_HH5C7BBXX,2,LiveBulk_10x_VZS_VZS1_d0_10xTK076s2_S20796,bsf
Drop-seq_VZS_120d,BSF_0284_HH5C7BBXX,2,LiveBulk_10x_VZS_VZS7_d120_10xTK076s4_S20801,bsf
Drop-seq_VZS_120d,BSF_0284_HH5C7BBXX,2,LiveBulk_10x_VZS_VZS7_d120_10xTK076s4_S20802,bsf
Drop-seq_VZS_120d,BSF_0284_HH5C7BBXX,2,LiveBulk_10x_VZS_VZS7_d120_10xTK076s4_S20803,bsf
Drop-seq_VZS_120d,BSF_0284_HH5C7BBXX,2,LiveBulk_10x_VZS_VZS7_d120_10xTK076s4_S20804,bsf
